source_dataset,target_dataset,task,path
raw.commercial.sellOut,clean.commercial.sellOutRejected,CommercialSellOutTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/sellout/CommercialSellOutTask.scala
raw.commercial.clearTrailerParc,clean.commercial.clearTrailerParc,ClearTrailerParcTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerParcTask.scala
raw.commercial.clearTrailerParc,clean.commercial.clearTrailerParcRejected,ClearTrailerParcTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerParcTask.scala
raw.commercial.clearTrailerProduction,clean.commercial.clearTrailerProduction,ClearTrailerProductionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerProductionTask.scala
raw.commercial.clearTrailerProduction,clean.commercial.clearTrailerProductionRejected,ClearTrailerProductionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/trailer/ClearTrailerProductionTask.scala
manual.commercial.tireReplacement,clean.commercial.tireReplacement,TireReplacementTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/vehiclepark/TireReplacementTask.scala
manual.commercial.tireReplacement,clean.commercial.tireReplacementRejected,TireReplacementTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/vehiclepark/TireReplacementTask.scala
manual.commercial.vehiclePark,clean.commercial.vehiclePark,VehicleParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/vehiclepark/VehicleParkTask.scala
manual.commercial.vehiclePark,clean.commercial.vehicleParkRejected,VehicleParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/commercial/vehiclepark/VehicleParkTask.scala
manual.officialBusiness,clean.officialBusiness,OfficialBusinessTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/business/OfficialBusinessTask.scala
manual.officialLmc,clean.officialLmc,OfficialLmcTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/datascience/official/lmc/OfficialLmcTask.scala
manual.beDemographics,clean.beDemographics,CleansingBeDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/be/CleansingBeDemographicsTask.scala
manual.channelDemographics,clean.channelDemographics,CleansingChannelTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/channel/CleansingChannelTask.scala
manual.deDemographics,clean.deDemographics,CleansingDEDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/de/CleansingDEDemographicsTask.scala
manual.deDemographics,clean.deDemographicsRejected,CleansingDEDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/de/CleansingDEDemographicsTask.scala
manual.esDemographics,clean.esDemographics,CleansingESDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/es/CleansingESDemographicsTask.scala
manual.esDemographics,clean.esDemographicsRejected,CleansingESDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/es/CleansingESDemographicsTask.scala
manual.frDemographics,clean.frDemographics,CleansingFRDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/fr/CleansingFRDemographicsTask.scala
manual.frDemographics,clean.frDemographicsRejected,CleansingFRDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/fr/CleansingFRDemographicsTask.scala
manual.itDemographics,clean.itDemographics,CleansingItDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/it/CleansingItDemographicsTask.scala
manual.mosaic,clean.mosaic,CleansingMosaicTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/mosaic/CleansingMosaicTask.scala
manual.nlDemographics,clean.nlDemographics,CleansingNLDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/nl/CleansingNLDemographicsTask.scala
manual.nlDemographics,clean.nlDemographicsRejected,CleansingNLDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/nl/CleansingNLDemographicsTask.scala
manual.ptDemographics,clean.ptDemographics,PtDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/pt/PtDemographicsTask.scala
manual.ukDemographics,clean.ukDemographics,CleansingUKDemographicsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/demographics/experian/uk/CleansingUKDemographicsTask.scala
raw.customerLocationGeoData,clean.customerLocationGeoData,CleansingCustomerLocationGeoDataTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/geolocation/customerlocationgeodata/CleansingCustomerLocationGeoDataTask.scala
manual.postalCodeHierarchy,clean.postalCodeHierarchy,CleansingPostalCodeHierarchyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/gfk/CleansingPostalCodeHierarchyTask.scala
manual.NUTSConversion,clean.NUTSConversion,CleansingNutsConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/nuts/conversion/CleansingNutsConversionTask.scala
manual.NUTS,clean.NUTS,CleansingNutsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/nuts/nuts/CleansingNutsTask.scala
manual.abhPointsOfSale,clean.abhPointsOfSale,AbhPointOfSaleTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/pos/abh/AbhPointOfSaleTask.scala
manual.autoviewPostCodeConversion,clean.autoviewPostCodeConversion,CleansingAutoViewPostCodeConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/autoview/es/CleansingAutoViewPostCodeConversionTask.scala
manual.polishPostCodeConversion,clean.polishPostCodeConversion,CleansingPolishPostCodeConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/autoview/pl/CleansingPolishPostCodeConversionTask.scala
manual.geostructureBAConversion,clean.geostructureBAConversion,CleansingBAGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/ba/CleansingBAGeostructureConversionTask.scala
manual.geostructureHRConversion,clean.geostructureHRConversion,CleansingHRGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/hr/CleansingHRGeostructureConversionTask.scala
manual.geostructureLTConversion,clean.geostructureLTConversion,CleansingLTGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/lt/CleansingLTGeostructureConversionTask.scala
manual.geostructureLVConversion,clean.geostructureLVConversion,CleansingLVGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/lv/CleansingLVGeostructureConversionTask.scala
manual.geostructureRSConversion,clean.geostructureRSConversion,CleansingRSGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/rs/CleansingRSGeostructureConversionTask.scala
manual.geostructureSIConversion,clean.geostructureSIConversion,CleansingSIGeostructureConversionTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/geostructure/si/CleansingSIGeostructureConversionTask.scala
raw.hereLocations,clean.hereLocations,HereLocationsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/here/HereLocationsTask.scala
raw.hereMapping,clean.hereMapping,HereMappingsTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/heremapping/HereMappingsTask.scala
raw.hereMappingV2021,clean.hereMappingV2021,HereMappingsV2021Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/geographics/postcodes/heremappingv2/HereMappingsV2021Task.scala
raw.gfkPricing,clean.gfkPricing,CleansingGfkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/gfk/CleansingGfkTask.scala
raw.knowtrexAllegro,clean.knowtrexAllegro,CleansingKnowtrexAllegroTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/allegro/CleansingKnowtrexAllegroTask.scala
raw.knowtrexEMMasterData,clean.knowtrexEMMasterData,CleansingKnowtrexEMMasterDataTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/emmasterdata/CleansingKnowtrexEMMasterDataTask.scala
raw.knowtrexEMSinglePlatform,clean.knowtrexEMSinglePlatform,CleansingKnowtrexEMSinglePlatformTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/emsingleplatform/CleansingKnowtrexEMSinglePlatformTask.scala
raw.knowtrexLikeForLikeMatching,clean.knowtrexLikeForLikeMatching,CleansingKnowtrexLikeForLikeMatchingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/likeforlikematching/CleansingKnowtrexLikeForLikeMatchingTask.scala
raw.knowtrexMarketPlatform,clean.knowtrexMarketPlatform,CleansingKnowtrexMarketPlatformTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/marketplatform/CleansingKnowtrexMarketPlatformTask.scala
raw.knowtrexMarketPlatformV2,clean.knowtrexMarketPlatformV2,CleansingKnowtrexMarketPlatformV2Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/marketplatformv2/CleansingKnowtrexMarketPlatformV2Task.scala
raw.knowtrexMasterData,clean.knowtrexMasterData,CleansingKnowtrexMasterDataTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/masterdata/CleansingKnowtrexMasterDataTask.scala
raw.knowtrexSinglePlatform,clean.knowtrexSinglePlatform,CleansingKnowtrexSinglePlatformTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/singleplatform/CleansingKnowtrexSinglePlatformTask.scala
raw.knowtrexSinglePlatformV2,clean.knowtrexSinglePlatformV2,CleansingKnowtrexSinglePlatformV2Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/b2c/singleplatformv2/CleansingKnowtrexSinglePlatformV2Task.scala
raw.knowtrexDailyPricing,clean.knowtrexDailyPricing,CleansingKnowtrexDailyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/knowtrex/daily/CleansingKnowtrexDailyTask.scala
raw.lizeoMonthlyPricing,clean.lizeoMonthlyPricing,CleansingLizeoMonthlyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/lizeo/monthly/CleansingLizeoMonthlyTask.scala
raw.lizeoWeeklyPricing,clean.lizeoWeeklyPricing,CleansingLizeoWeeklyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/lizeo/weekly/CleansingLizeoWeeklyTask.scala
raw.platformaOpon,clean.platformaOpon,CleansingPlatformaOponTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/platformaopon/CleansingPlatformaOponTask.scala
raw.pneub2b,clean.pneub2b,Pneub2bTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/pneub2b/Pneub2bTask.scala
manual.sellinPricing,clean.sellinPricing,CleansingSellinTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/sellin/CleansingSellinTask.scala
raw.tire24DailyPricing,clean.tire24DailyPricing,CleansingTire24DailyTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tire24/daily/CleansingTire24DailyTask.scala
raw.tireOnlineCommercial,clean.tireOnlineCommercial,CleansingTireOnlineCommercialTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tireonline/commercial/CleansingTireOnlineCommercialTask.scala
raw.tireOnlineConsumer,clean.tireOnlineConsumer,CleansingTireOnlineConsumerTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/tireonline/consumer/CleansingTireOnlineConsumerTask.scala
raw.zero7zrPricing,clean.zero7zrPricing,Cleansing07zrTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/pricing/zero7zr/Cleansing07zrTask.scala
manual.carLookup,clean.carLookup,CarLookupTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carlookup/CarLookupTask.scala
v.raws,v.cleans,CleansingABHCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/abh/CleansingABHCarParkTask.scala
v.raws,v.dirtys,CleansingABHCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/abh/CleansingABHCarParkTask.scala
manual.denmarkCarPark,clean.denmarkCarPark.by2019.link,DenmarkCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/denmark/DenmarkCarParkTask.scala
manual.experianTirePark.by2019,clean.experianTirePark.by2019.link,CleansingExperianTirePark2018Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2018Task.scala
manual.experianTirePark.by2019,clean.experianTirePark.by2019Rejected.link,CleansingExperianTirePark2018Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2018Task.scala
manual.experianTirePark.by2020,clean.experianTirePark.by2020.link,CleansingExperianTirePark2020Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2020Task.scala
manual.experianTirePark.by2020,clean.experianTirePark.by2020Rejected.link,CleansingExperianTirePark2020Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/experian/CleansingExperianTirePark2020Task.scala
manual.frenchCarPark.prd,clean.frenchCarPark.by2019.link,FrenchCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/france/FrenchCarParkTask.scala
manual.germanTirePark.by2019,clean.germanTirePark.by2019.link,CleansingGermanyTirePark2018Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/germany/CleansingGermanyTirePark2018Task.scala
manual.germanTirePark.by2020,clean.germanTirePark.by2020.link,CleansingGermanyTirePark2020Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/germany/CleansingGermanyTirePark2020Task.scala
manual.tecAllianceCarPark.by2019,clean.tecAllianceCarPark.by2019.link,CleansingTecAllianceCarPark2019Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/carpark/tecalliance/year2019/CleansingTecAllianceCarPark2019Task.scala
manual.extrapolatedCarPark,clean.extrapolatedCarPark,ExtrapolatedCarParkTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/extrapolatedcarpark/ExtrapolatedCarParkTask.scala
manual.skuPriority,clean.skuPriority,CleansingSkuPriorityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/skupriority/CleansingSkuPriorityTask.scala
manual.skuPriority,clean.skuPriorityRejected,CleansingSkuPriorityTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/skupriority/CleansingSkuPriorityTask.scala
manual.strimFutureForecast,clean.strimFutureForecast,StrimFutureForecastTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/strimfutureforecast/StrimFutureForecastTask.scala
manual.survivalRate,clean.survivalRate,SurvivalRateTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/survivalrate/SurvivalRateTask.scala
manual.vehicleFitmentV2021p02,clean.vehicleFitmentV2021,VehicleFitmentV2021Task,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmf/v2021p02/VehicleFitmentV2021Task.scala
manual.vehicleFitment,clean.vehicleFitment,VehicleFitmentTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmf/VehicleFitmentTask.scala
manual.bmfToTecDocMapping,clean.bmfToTecDocMapping,BmfToTecDocMappingTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/bmftotecdocmapping/BmfToTecDocMappingTask.scala
rawLink,cleanLink,TecAllianceFitmentTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/TecAllianceFitmentTask.scala
manual.tecAllianceUpstep2016,clean.tecAllianceUpstep2016,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2016,clean.tecAllianceUpstep2017,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2016,clean.tecAllianceUpstep2018,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2016,clean.tecAllianceUpstep2019,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2017,clean.tecAllianceUpstep2016,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2017,clean.tecAllianceUpstep2017,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2017,clean.tecAllianceUpstep2018,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2017,clean.tecAllianceUpstep2019,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2016,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2017,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2018,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2019,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
manual.tecAllianceUpstep2018,clean.tecAllianceUpstep2016,CleansingTecAllianceUpstepTask,https://bitbucket.org/emea_cf/datalake-cleansing/src/master/datalake-cleansing-jobs/src/main/scala/com/goodyear/datalake/cleansing/current/jobs/external/vehicledata/tirefitments/tecalliance/upstep/CleansingTecAllianceUpstepTask.scala
