source_dataset,target_dataset,task,path
ped.pricinganalytics,ped.pricinganalyticssizetype,PricingAnalyticsSizeTypeTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticssizetype/PricingAnalyticsSizeTypeTask.scala
ped.b2bDaily,ped.pricinganalyticsweeklyplatform,PricingAnalyticsWeeklyPlatformTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatform/PricingAnalyticsWeeklyPlatformTask.scala
ped.b2cDaily,ped.pricinganalyticsweeklyplatform,PricingAnalyticsWeeklyPlatformTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatform/PricingAnalyticsWeeklyPlatformTask.scala
ped.pricinganalyticsweeklyplatform,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.tireMaster,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.consumerNetSalesCoverage,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.consumerMarketShareCoverage,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.floorPriceEan,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
mdm.countryHierarchy,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.weightingDesignSellin,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
ped.weightingDesignSellout,ped.pricingAnalyticsWeeklyPlatformReporting,PricingAnalyticsWeeklyPlatformReportingTask,https://bitbucket.org/emea_cf/datalake-ped/src/master/datalake-ped-jobs/src/main/scala/com/goodyear/datalake/ped/jobs/pricinganalyticsweeklyplatformreporting/PricingAnalyticsWeeklyPlatformReportingTask.scala
